"Google Cloud Storage","Google Cloud Storage"
"General Settings","General Settings"
"Enable Google Cloud Storage","Enable Google Cloud Storage"
"Google Cloud Platform Project","Google Cloud Platform Project"
"The name of the GCP project for the bucket.","The name of the GCP project for the bucket."
"JSON Key File Path","JSON Key File Path"
"The path to the JSON key file to use for authentication with Google Cloud Storage APIs.","The path to the JSON key file to use for authentication with Google Cloud Storage APIs."
"Bucket Settings","Bucket Settings"
"Bucket Name","Bucket Name"
"The unique name given to the GCS bucket.","The unique name given to the GCS bucket."
"Bucket Prefix","Bucket Prefix"
"Synchronize to bucket subdirectory. Must be well-formed, Unix-like pathname.","Synchronize to bucket subdirectory. Must be well-formed, Unix-like pathname."
"Bucket ACL Policy","Bucket ACL Policy"
"The predefined ACL policy for bucket file objects. See <a href="https://cloud.google.com/storage/docs/access-control/lists#predefined-acl" target="_blank">here</a> for documentation.","The predefined ACL policy for bucket file objects. See <a href="https://cloud.google.com/storage/docs/access-control/lists#predefined-acl" target="_blank">here</a> for documentation."
